,playerName,seasonStartYear,salary,inflationAdjSalary,birthDate,startYear,position,height,weight
0,Michael Jordan,1996,"$30,140,000","$52,258,566",1963-02-17,1985.0,G-F,6-6,198.0
1,Horace Grant,1996,"$14,857,000","$25,759,971",1965-07-04,1988.0,F-C,6-10,215.0
2,Reggie Miller,1996,"$11,250,000","$19,505,934",1965-08-24,1988.0,G-F,6-7,185.0
3,Shaquille O'Neal,1996,"$10,714,000","$18,576,585",1972-03-06,1993.0,C,7-1,325.0
4,Gary Payton,1996,"$10,212,000","$17,706,187",1968-07-23,1991.0,G,6-4,180.0
5,David Robinson,1996,"$9,952,000","$17,255,383",1965-08-06,1990.0,C,7-1,235.0
6,Juwan Howard,1996,"$9,750,000","$16,905,143",1973-02-07,1995.0,F,6-9,240.0
7,Hakeem Olajuwon,1996,"$9,655,000","$16,740,426",1963-01-21,1985.0,C,7-0,255.0
8,Alonzo Mourning,1996,"$9,380,000","$16,263,615",1970-02-08,1993.0,C,6-10,240.0
9,Dennis Rodman,1996,"$9,000,000","$15,604,747",1961-05-13,1987.0,F,6-7,210.0
10,Dikembe Mutombo,1996,"$8,013,000","$13,893,427",1966-06-25,1992.0,C,7-2,245.0
11,Chris Webber,1996,"$8,000,000","$13,870,887",1973-03-01,1994.0,F-C,6-9,245.0
12,Otis Thorpe,1996,"$7,000,000","$12,137,026",1962-08-05,1985.0,F-C,6-9,225.0
13,Latrell Sprewell,1996,"$7,000,000","$12,137,026",1970-09-08,1993.0,G,6-5,190.0
14,Elden Campbell,1996,"$7,000,000","$12,137,026",1968-07-23,1991.0,C,6-11,215.0
15,Kevin Johnson,1996,"$7,000,000","$12,137,026",1966-03-04,1988.0,G,6-1,180.0
16,Danny Manning,1996,"$6,833,000","$11,847,471",1966-05-17,1989.0,F-C,6-10,230.0
17,Derrick Coleman,1996,"$6,739,000","$11,684,488",1967-06-21,1991.0,F-C,6-10,230.0
18,Anfernee Hardaway,1996,"$6,655,000","$11,538,844",1971-07-18,1994.0,G-F,6-7,195.0
19,Dale Davis,1996,"$6,508,000","$11,283,966",1969-03-25,1992.0,F-C,6-11,230.0
20,John Stockton,1996,"$6,000,000","$10,403,165",1962-03-26,1985.0,G,6-1,170.0
21,Clyde Drexler,1996,"$5,500,000","$9,536,234",1962-06-22,1984.0,G,6-7,210.0
22,Sean Elliott,1996,"$5,333,000","$9,246,680",1968-02-02,1990.0,F,6-8,205.0
23,Dino Radja,1996,"$5,313,000","$9,212,002",1967-04-24,1994.0,F-C,6-11,225.0
24,Antonio Davis,1996,"$5,200,000","$9,016,076",1968-10-31,1994.0,F-C,6-9,215.0
25,Shawn Bradley,1996,"$5,130,000","$8,894,706",1972-03-22,1994.0,C,7-6,235.0
26,Grant Hill,1996,"$5,025,000","$8,712,650",1972-10-05,1995.0,F-G,6-8,225.0
27,Larry Johnson,1996,"$5,004,000","$8,676,239",1954-11-28,1978.0,G,6-3,205.0
28,Tom Gugliotta,1996,"$5,000,000","$8,669,304",1969-12-19,1993.0,F,6-10,240.0
29,Allan Houston,1996,"$5,000,000","$8,669,304",1971-04-20,1994.0,G,6-6,200.0
30,A.C. Green,1996,"$4,851,000","$8,410,959",1963-10-04,1986.0,F-C,6-9,220.0
31,Vlade Divac,1996,"$4,718,000","$8,180,355",1968-02-03,1990.0,C,7-1,243.0
32,Charles Barkley,1996,"$4,695,000","$8,140,476",1963-02-20,1985.0,F,6-6,252.0
33,Karl Malone,1996,"$4,657,000","$8,074,590",1963-07-24,1986.0,F,6-9,250.0
34,Danny Ferry,1996,"$4,643,000","$8,050,316",1966-10-17,1991.0,F,6-10,230.0
35,Glenn Robinson,1996,"$4,640,000","$8,045,114",1973-01-10,1995.0,F,6-7,225.0
36,Christian Laettner,1996,"$4,500,000","$7,802,373",1969-08-17,1993.0,F-C,6-11,235.0
37,Steve Smith,1996,"$4,500,000","$7,802,373",1969-03-31,1992.0,G,6-7,200.0
38,Jason Kidd,1996,"$4,408,000","$7,642,858",1973-03-23,1995.0,G,6-4,205.0
39,Kenny Anderson,1996,"$4,175,000","$7,238,869",1970-10-09,1992.0,G,6-0,168.0
40,John Williams,1996,"$4,151,000","$7,197,256",1966-10-26,1987.0,F-C,6-8,235.0
41,Harvey Grant,1996,"$4,111,000","$7,127,902",1965-07-04,1989.0,F,6-8,195.0
42,Chris Dudley,1996,"$4,100,000","$7,108,829",1965-02-22,1988.0,C,6-11,235.0
43,Glen Rice,1996,"$4,002,000","$6,938,911",1967-05-28,1990.0,F,6-8,215.0
44,Rik Smits,1996,"$4,000,000","$6,935,443",1966-08-23,1989.0,C,7-4,250.0
45,Brian Shaw,1996,"$4,000,000","$6,935,443",1966-03-22,1989.0,G,6-6,190.0
46,Toni Kukoc,1996,"$3,960,000","$6,866,089",,,,,
47,Jim Jackson,1996,"$3,900,000","$6,762,057",1970-10-14,1993.0,G,6-6,220.0
48,Ron Harper,1996,"$3,840,000","$6,658,025",1964-01-20,1987.0,G-F,6-6,185.0
49,Jamal Mashburn,1996,"$3,833,000","$6,645,888",1972-11-29,1994.0,F,6-8,240.0
50,Kendall Gill,1996,"$3,800,000","$6,588,671",1968-05-25,1991.0,G,6-5,195.0
51,Nick Anderson,1996,"$3,790,000","$6,571,332",1968-01-20,1990.0,F-G,6-6,205.0
52,Billy Owens,1996,"$3,773,000","$6,541,857",1969-05-01,1992.0,F-G,6-8,220.0
53,Vin Baker,1996,"$3,765,000","$6,527,986",1971-11-23,1994.0,F,6-11,232.0
54,Rony Seikaly,1996,"$3,752,000","$6,505,446",1965-05-10,1989.0,C,6-11,230.0
55,Isaiah Rider,1996,"$3,610,000","$6,259,237",1971-03-12,1994.0,G,6-5,215.0
56,Sherman Douglas,1996,"$3,594,000","$6,231,496",1966-09-15,1990.0,G,6-0,180.0
57,Mitch Richmond,1996,"$3,575,000","$6,198,552",1965-06-30,1989.0,G,6-5,215.0
58,Charles Smith,1996,"$3,557,000","$6,167,343",1965-07-16,1989.0,F-C,6-10,230.0
59,Tyrone Hill,1996,"$3,480,000","$6,033,835",1968-03-19,1991.0,F,6-9,240.0
60,Wayman Tisdale,1996,"$3,475,000","$6,025,166",1964-06-09,1986.0,F-C,6-9,240.0
61,Mark Price,1996,"$3,409,000","$5,910,731",1964-02-15,1987.0,G,6-0,170.0
62,Dana Barros,1996,"$3,400,000","$5,895,126",1967-04-13,1990.0,G,5-11,163.0
63,Bryant Stith,1996,"$3,400,000","$5,895,126",1970-12-10,1993.0,G,6-5,208.0
64,Donyell Marshall,1996,"$3,360,000","$5,825,772",1973-05-18,1995.0,F,6-9,218.0
65,Detlef Schrempf,1996,"$3,333,000","$5,778,958",1963-01-21,1986.0,F-C,6-10,235.0
66,Shawn Kemp,1996,"$3,300,000","$5,721,740",1969-11-26,1990.0,F-C,6-10,230.0
67,Clarence Weatherspoon,1996,"$3,300,000","$5,721,740",1970-09-08,1993.0,F,6-6,240.0
68,LaPhonso Ellis,1996,"$3,294,000","$5,711,337",1970-05-05,1993.0,F,6-8,240.0
69,Dee Brown,1996,"$3,250,000","$5,635,047",1968-11-29,1991.0,G,6-1,160.0
70,Stanley Roberts,1996,"$3,250,000","$5,635,047",1970-02-07,1992.0,C,7-0,285.0
71,Calbert Cheaney,1996,"$3,200,000","$5,548,354",1971-07-17,1994.0,G-F,6-7,209.0
72,Lionel Simmons,1996,"$3,194,000","$5,537,951",1968-11-14,1991.0,F-G,6-7,210.0
73,Olden Polynice,1996,"$3,140,000","$5,444,323",1964-11-21,1988.0,C-F,6-11,220.0
74,Loy Vaught,1996,"$3,100,000","$5,374,968",1968-02-27,1991.0,F,6-9,230.0
75,Mahmoud Abdul-Rauf,1996,"$3,100,000","$5,374,968",1969-03-09,1991.0,G,6-1,162.0
76,Sharone Wright,1996,"$3,100,000","$5,374,968",1973-01-30,1995.0,F-C,6-11,260.0
77,Joe Dumars,1996,"$3,075,000","$5,331,622",1963-05-24,1986.0,G,6-3,190.0
78,Bobby Hurley,1996,"$3,068,000","$5,319,485",1971-06-28,1994.0,G,6-0,165.0
79,Chris Gatling,1996,"$3,047,000","$5,283,074",1967-09-03,1992.0,F-C,6-10,220.0
80,Rod Strickland,1996,"$3,036,000","$5,264,001",1966-07-11,1989.0,G,6-3,175.0
81,Derrick McKey,1996,"$3,000,000","$5,201,582",1966-10-10,1988.0,F-C,6-9,205.0
82,Patrick Ewing,1996,"$3,000,000","$5,201,582",1962-08-05,1986.0,C-F,7-0,240.0
83,Jim McIlvaine,1996,"$3,000,000","$5,201,582",1972-07-30,1995.0,C,7-1,240.0
84,Dennis Scott,1996,"$3,000,000","$5,201,582",1968-09-05,1991.0,F,6-8,229.0
85,Clifford Robinson,1996,"$2,924,000","$5,069,809",1966-12-16,1990.0,F-C,6-10,225.0
86,Todd Day,1996,"$2,915,000","$5,054,204",1970-01-07,1993.0,G-F,6-6,188.0
87,Mark Jackson,1996,"$2,900,000","$5,028,196",1965-04-01,1988.0,G,6-1,180.0
88,Stojko Vrankovic,1996,"$2,900,000","$5,028,196",,,,,
89,Ken Norman,1996,"$2,869,000","$4,974,446",1964-09-05,1988.0,F,6-8,215.0
90,Chris Mullin,1996,"$2,844,000","$4,931,100",1963-07-30,1986.0,F-G,6-6,200.0
91,Mookie Blaylock,1996,"$2,800,000","$4,854,810",1967-03-20,1990.0,G,6-0,180.0
92,Joe Smith,1996,"$2,794,000","$4,844,407",1975-07-26,1996.0,F,6-10,225.0
93,Luc Longley,1996,"$2,790,000","$4,837,471",1969-01-19,1992.0,C,7-2,265.0
94,Anthony Mason,1996,"$2,777,000","$4,814,931",1966-12-14,1990.0,F,6-7,250.0
95,Sam Perkins,1996,"$2,730,000","$4,733,440",1961-06-14,1985.0,F-C,6-9,235.0
96,Pooh Richardson,1996,"$2,721,000","$4,717,835",1966-05-14,1990.0,G,6-1,180.0
97,Robert Pack,1996,"$2,700,000","$4,681,424",1969-02-03,1992.0,G,6-2,180.0
98,Lamond Murray,1996,"$2,700,000","$4,681,424",1973-04-20,1995.0,F,6-7,236.0
99,Felton Spencer,1996,"$2,694,000","$4,671,021",1968-01-15,1991.0,C,7-0,265.0
100,Arvydas Sabonis,1996,"$2,640,000","$4,577,392",1964-12-19,1996.0,C,7-3,279.0
101,Hersey Hawkins,1996,"$2,604,000","$4,514,973",1966-09-29,1989.0,G,6-3,190.0
102,Charles Oakley,1996,"$2,600,000","$4,508,038",1963-12-18,1986.0,F-C,6-8,225.0
103,Chris Childs,1996,"$2,600,000","$4,508,038",1967-11-20,1995.0,G,6-3,195.0
104,Antonio McDyess,1996,"$2,545,000","$4,412,675",1974-09-07,1996.0,F-C,6-9,220.0
105,Sarunas Marciulionis,1996,"$2,500,000","$4,334,652",,,,,
106,Tim Hardaway,1996,"$2,500,000","$4,334,652",1966-09-01,1990.0,G,6-0,175.0
107,Chris Morris,1996,"$2,500,000","$4,334,652",1966-01-20,1989.0,F,6-8,210.0
108,Stacey Augmon,1996,"$2,480,000","$4,299,974",1968-08-01,1992.0,F-G,6-8,205.0
109,Micheal Williams,1996,"$2,475,000","$4,291,305",1966-07-23,1989.0,G,6-2,175.0
110,Terry Mills,1996,"$2,457,000","$4,260,096",1967-12-21,1991.0,F,6-10,230.0
111,Marcus Camby,1996,"$2,434,000","$4,220,217",1974-03-22,1997.0,C-F,6-11,220.0
112,BJ Armstrong,1996,"$2,400,000","$4,161,266",,,,,
113,Cedric Ceballos,1996,"$2,400,000","$4,161,266",1969-08-02,1991.0,F,6-6,190.0
114,Scott Williams,1996,"$2,400,000","$4,161,266",1968-03-21,1991.0,F-C,6-10,230.0
115,Jeff Hornacek,1996,"$2,396,000","$4,154,330",1963-05-03,1987.0,G,6-3,190.0
116,Gheorghe Muresan,1996,"$2,363,000","$4,097,113",,,,,
117,Dan Majerle,1996,"$2,350,000","$4,074,573",1965-09-09,1989.0,G-F,6-6,215.0
118,Andrew Lang,1996,"$2,332,000","$4,043,363",1966-06-28,1989.0,C,6-11,245.0
