,playerName,seasonStartYear,salary,inflationAdjSalary,birthDate,startYear,position,height,weight,MP,PTS,Age,team,games,games_started,PER,FTr,AST,STL,TRB,FT,3P,FG,position_enc,team_enc,height_enc
0,Michael Jordan,1996,"$30,140,000","$52,258,566",1963-02-17,1985.0,G-F,6-6,198.0,3090.0,2491.0,32.0,CHI,82.0,82.0,29.4,0.355,352.0,180.0,543.0,548.0,111.0,916.0,6,5,14
1,Horace Grant,1996,"$14,857,000","$25,759,971",1965-07-04,1988.0,F-C,6-10,215.0,2286.0,847.0,30.0,ORL,63.0,62.0,17.9,0.306,170.0,62.0,580.0,152.0,1.0,347.0,3,26,8
2,Reggie Miller,1996,"$11,250,000","$19,505,934",1965-08-24,1988.0,G-F,6-7,185.0,2621.0,1606.0,30.0,IND,76.0,76.0,20.1,0.467,253.0,77.0,214.0,430.0,168.0,504.0,6,13,15
3,Shaquille O'Neal,1996,"$10,714,000","$18,576,585",1972-03-06,1993.0,C,7-1,325.0,1946.0,1434.0,23.0,ORL,54.0,52.0,26.4,0.495,155.0,34.0,596.0,249.0,1.0,592.0,0,26,19
4,Gary Payton,1996,"$10,212,000","$17,706,187",1968-07-23,1991.0,G,6-4,180.0,3162.0,1563.0,27.0,SEA,81.0,81.0,19.6,0.24,608.0,231.0,339.0,229.0,98.0,618.0,5,32,12
5,David Robinson,1996,"$9,952,000","$17,255,383",1965-08-06,1990.0,C,7-1,235.0,3019.0,2051.0,30.0,SAS,82.0,82.0,29.4,0.597,247.0,111.0,1000.0,626.0,3.0,711.0,0,31,19
6,Juwan Howard,1996,"$9,750,000","$16,905,143",1973-02-07,1995.0,F,6-9,240.0,3294.0,1789.0,22.0,WSB,81.0,81.0,17.0,0.284,360.0,67.0,660.0,319.0,4.0,733.0,2,38,17
7,Hakeem Olajuwon,1996,"$9,655,000","$16,740,426",1963-01-21,1985.0,C,7-0,255.0,2797.0,1936.0,33.0,HOU,72.0,72.0,25.5,0.367,257.0,113.0,784.0,397.0,3.0,768.0,0,12,18
8,Alonzo Mourning,1996,"$9,380,000","$16,263,615",1970-02-08,1993.0,C,6-10,240.0,2671.0,1623.0,25.0,MIA,70.0,70.0,22.7,0.662,159.0,70.0,727.0,488.0,9.0,563.0,0,17,8
9,Dennis Rodman,1996,"$9,000,000","$15,604,747",1961-05-13,1987.0,F,6-7,210.0,2088.0,351.0,34.0,CHI,64.0,57.0,13.6,0.349,160.0,36.0,952.0,56.0,3.0,146.0,2,5,15
10,Dikembe Mutombo,1996,"$8,013,000","$13,893,427",1966-06-25,1992.0,C,7-2,245.0,2713.0,814.0,29.0,DEN,74.0,74.0,17.1,0.622,108.0,38.0,871.0,246.0,0.0,284.0,0,9,20
11,Chris Webber,1996,"$8,000,000","$13,870,887",1973-03-01,1994.0,F-C,6-9,245.0,558.0,356.0,22.0,WSB,15.0,15.0,23.6,0.25,75.0,27.0,114.0,41.0,15.0,150.0,3,38,17
12,Otis Thorpe,1996,"$7,000,000","$12,137,026",1962-08-05,1985.0,F-C,6-9,225.0,2841.0,1161.0,33.0,DET,82.0,82.0,15.7,0.424,158.0,53.0,688.0,257.0,0.0,452.0,3,10,17
13,Latrell Sprewell,1996,"$7,000,000","$12,137,026",1970-09-08,1993.0,G,6-5,190.0,3064.0,1473.0,25.0,GSW,78.0,78.0,15.9,0.371,328.0,127.0,380.0,352.0,91.0,515.0,5,11,13
14,Elden Campbell,1996,"$7,000,000","$12,137,026",1968-07-23,1991.0,C,6-11,215.0,2699.0,1143.0,27.0,LAL,82.0,82.0,18.0,0.393,181.0,88.0,623.0,249.0,0.0,447.0,0,15,9
15,Kevin Johnson,1996,"$7,000,000","$12,137,026",1966-03-04,1988.0,G,6-1,180.0,2007.0,1047.0,29.0,PHO,56.0,55.0,22.8,0.591,517.0,82.0,221.0,342.0,21.0,342.0,5,28,7
16,Danny Manning,1996,"$6,833,000","$11,847,471",1966-05-17,1989.0,F-C,6-10,230.0,816.0,441.0,29.0,PHO,33.0,4.0,14.7,0.281,65.0,38.0,143.0,82.0,3.0,178.0,3,28,8
17,Derrick Coleman,1996,"$6,739,000","$11,684,488",1967-06-21,1991.0,F-C,6-10,230.0,294.0,123.0,28.0,PHI,11.0,11.0,12.0,0.271,31.0,4.0,72.0,20.0,7.0,48.0,3,27,8
18,Anfernee Hardaway,1996,"$6,655,000","$11,538,844",1971-07-18,1994.0,G-F,6-7,195.0,3015.0,1780.0,24.0,ORL,82.0,82.0,24.6,0.477,582.0,166.0,354.0,445.0,89.0,623.0,6,26,15
19,Dale Davis,1996,"$6,508,000","$11,283,966",1969-03-25,1992.0,F-C,6-11,230.0,2617.0,803.0,26.0,IND,78.0,77.0,14.3,0.482,76.0,56.0,709.0,135.0,0.0,334.0,3,13,9
20,John Stockton,1996,"$6,000,000","$10,403,165",1962-03-26,1985.0,G,6-1,170.0,2915.0,1209.0,33.0,UTA,82.0,82.0,21.9,0.345,916.0,140.0,226.0,234.0,95.0,440.0,5,35,7
21,Clyde Drexler,1996,"$5,500,000","$9,536,234",1962-06-22,1984.0,G,6-7,210.0,1997.0,1005.0,33.0,HOU,52.0,51.0,20.0,0.442,302.0,105.0,373.0,265.0,78.0,331.0,5,12,15
22,Sean Elliott,1996,"$5,333,000","$9,246,680",1968-02-02,1990.0,F,6-8,205.0,2901.0,1537.0,27.0,SAS,77.0,77.0,16.3,0.375,211.0,69.0,396.0,326.0,161.0,525.0,2,31,16
23,Dino Radja,1996,"$5,313,000","$9,212,002",1967-04-24,1994.0,F-C,6-11,225.0,1984.0,1043.0,28.0,BOS,53.0,52.0,18.0,0.323,83.0,48.0,522.0,191.0,0.0,426.0,3,1,9
24,Antonio Davis,1996,"$5,200,000","$9,016,076",1968-10-31,1994.0,F-C,6-9,215.0,2092.0,719.0,27.0,IND,82.0,14.0,13.9,0.716,43.0,33.0,501.0,246.0,1.0,236.0,3,13,17
25,Shawn Bradley,1996,"$5,130,000","$8,894,706",1972-03-22,1994.0,C,7-6,235.0,2329.0,944.0,23.0,TOT,79.0,68.0,15.7,0.282,63.0,49.0,638.0,169.0,1.0,387.0,0,34,24
26,Grant Hill,1996,"$5,025,000","$8,712,650",1972-10-05,1995.0,F-G,6-8,225.0,3260.0,1618.0,23.0,DET,80.0,80.0,20.9,0.529,548.0,100.0,783.0,485.0,5.0,564.0,4,10,16
27,Larry Johnson,1996,"$5,004,000","$8,676,239",1954-11-28,1978.0,G,6-3,205.0,3274.0,1660.0,26.0,CHH,81.0,81.0,19.8,0.46,355.0,55.0,683.0,427.0,67.0,583.0,5,4,11
28,Tom Gugliotta,1996,"$5,000,000","$8,669,304",1969-12-19,1993.0,F,6-10,240.0,2835.0,1261.0,26.0,MIN,78.0,78.0,16.9,0.373,238.0,139.0,690.0,289.0,26.0,473.0,2,19,8
29,Allan Houston,1996,"$5,000,000","$8,669,304",1971-04-20,1994.0,G,6-6,200.0,3072.0,1617.0,24.0,DET,82.0,75.0,15.7,0.291,250.0,61.0,300.0,298.0,191.0,564.0,5,10,14
30,A.C. Green,1996,"$4,851,000","$8,410,959",1963-10-04,1986.0,F-C,6-9,220.0,2113.0,612.0,32.0,PHO,82.0,36.0,12.9,0.534,72.0,45.0,554.0,168.0,14.0,215.0,3,28,17
31,Vlade Divac,1996,"$4,718,000","$8,180,355",1968-02-03,1990.0,C,7-1,243.0,2470.0,1020.0,27.0,LAL,79.0,79.0,17.4,0.366,261.0,76.0,679.0,189.0,3.0,414.0,0,15,19
32,Charles Barkley,1996,"$4,695,000","$8,140,476",1963-02-20,1985.0,F,6-6,252.0,2632.0,1649.0,32.0,PHO,71.0,71.0,24.8,0.488,262.0,114.0,821.0,440.0,49.0,580.0,2,28,14
33,Karl Malone,1996,"$4,657,000","$8,074,590",1963-07-24,1986.0,F,6-9,250.0,3113.0,2106.0,32.0,UTA,82.0,82.0,26.0,0.466,345.0,138.0,804.0,512.0,16.0,789.0,2,35,17
34,Danny Ferry,1996,"$4,643,000","$8,050,316",1966-10-17,1991.0,F,6-10,230.0,2680.0,1090.0,29.0,CLE,82.0,79.0,14.2,0.146,191.0,57.0,309.0,103.0,143.0,422.0,2,7,8
35,Glenn Robinson,1996,"$4,640,000","$8,045,114",1973-01-10,1995.0,F,6-7,225.0,3249.0,1660.0,23.0,MIL,82.0,82.0,15.9,0.281,293.0,95.0,504.0,316.0,90.0,627.0,2,18,15
36,Christian Laettner,1996,"$4,500,000","$7,802,373",1969-08-17,1993.0,F-C,6-11,235.0,2495.0,1217.0,26.0,TOT,74.0,71.0,17.7,0.437,197.0,71.0,538.0,324.0,9.0,442.0,3,34,9
37,Steve Smith,1996,"$4,500,000","$7,802,373",1969-03-31,1992.0,G,6-7,200.0,2856.0,1446.0,26.0,ATL,80.0,80.0,16.6,0.337,224.0,68.0,326.0,318.0,140.0,494.0,5,0,15
38,Jason Kidd,1996,"$4,408,000","$7,642,858",1973-03-23,1995.0,G,6-4,205.0,3034.0,1348.0,22.0,DAL,81.0,81.0,17.8,0.256,783.0,175.0,553.0,229.0,133.0,493.0,5,8,12
