1	LeBron James	146,120,866
2	Stephen Curry	49,330,555
3	Russell Westbrook	21,669,462
4	Kyrie Irving	18,539,449
5	Lonzo Ball	16,169,099
6	Klay Thompson	14,623,214
7	Giannis Antetokounmpo	14,334,269
8	Chris Paul	11,594,885
9	Paul George	9,891,172
10	Damian Lillard	9,660,257
11	LaMelo Ball	9,653,626
12	Ja Morant	8,903,694
13	Luka Doncic	8,070,527
14	Carmelo Anthony	7,927,288
15	Jimmy Butler	7,896,756
16	Markelle Fultz	7,576,228
17	Ben Simmons	6,951,306
18	Joel Embiid	6,549,269
19	Jayson Tatum	5,709,773
20	Devin Booker	5,477,359
21	Zion Williamson	5,397,260
22	Kyle Kuzma	4,938,120
23	Trae Young	4,921,569
24	John Wall	4,578,272
25	Draymond Green	4,060,020
26	Karl-Anthony Towns	4,029,739
27	Tristan Thompson	3,822,337
28	Donovan Mitchell	3,715,793
29	D'Angelo Russell	3,678,794
30	Kevin Love	3,356,121
31	DeMar DeRozan	3,320,039
32	Dwight Howard	3,282,112
33	Zach LaVine	2,551,261
34	Jalen Green	2,420,667
35	Tyler Herro	2,282,403
36	Dennis Schroder	2,236,040
37	Brandon Ingram	2,211,777
38	Andrew Wiggins	2,193,323
39	Seth Curry	2,129,121
40	Jordan Poole	1,952,396
41	Jordan Clarkson	1,881,369
42	DeAndre Jordan	1,879,629
43	Andre Iguodala	1,791,240
44	Kelly Oubre Jr.	1,695,550
45	JaVale McGee	1,669,253
46	Alex Caruso	1,590,357
47	Shai Gilgeous-Alexander	1,543,792
48	Kristaps Porzingis	1,514,760
49	Kyle Lowry	1,495,356
50	Victor Oladipo	1,467,915
51	Cedi Osman	1,457,436
52	Bradley Beal	1,374,726
53	C.J. McCollum	1,354,241
54	Andre Drummond	1,348,260
55	Anthony Edwards	1,315,552
56	Kemba Walker	1,307,794
57	De'Aaron Fox	1,294,666
58	Thanasis Antetokounmpo	1,291,365
59	Rajon Rondo	1,277,044
60	Danny Green	1,222,432
61	Dejounte Murray	1,208,919
62	Serge Ibaka	1,204,831
63	Gordon Hayward	1,178,992
64	Lou Williams	1,175,563
65	R.J. Barrett	1,165,390
66	Jamal Murray	1,016,319
67	Bol Bol	1,015,097
68	Alize Johnson	1,011,215
69	Marvin Bagley III	999,716
70	Harrison Barnes	985,889
71	Boban Marjanovic	980,625
72	Kentavious Caldwell-Pope	935,997
73	Julius Randle	911,333
74	Paolo Banchero	860,620
75	Sharife Cooper	857,341
76	Bam Adebayo	843,995
77	Rudy Gobert	835,986
78	Mac McClung	823,312
79	Josh Christopher	818,849
80	Marcus Smart	795,812
81	P.J. Washington	793,108
82	Hassan Whiteside	740,193
83	Mohamed Bamba	734,434
84	Juancho Hernangomez	732,687
85	Rudy Gay	716,638
86	Cole Anthony	714,530
87	Fred VanVleet	706,165
88	Pascal Siakam	685,707
89	Josh Hart	668,643
90	Al Horford	667,828
91	Miles Bridges	665,525
92	Chet Holmgren	655,718
93	Ricky Rubio	631,447
94	Patrick Beverley	623,627
95	James Wiseman	621,520
96	Bogdan Bogdanovic	614,432
97	Udonis Haslem	601,763
98	Cade Cunningham	593,400
99	Scottie Barnes	592,800
100	Rui Hachimura	590,128
101	Patty Mills	579,759
102	Mike Conley	568,736
103	Jrue Holiday	558,334
104	Steven Adams	549,614
105	Kevin Porter Jr.	547,584
106	Montrezl Harrell	545,442
107	Cam Reddish	542,358
108	Justise Winslow	537,979
109	Buddy Hield	532,062
110	Edmond Sumner	530,363
111	Jalen Suggs	529,207
112	Tobias Harris	521,685
113	R.J. Hampton	514,850
114	Willie Cauley-Stein	514,451
115	Tyrese Maxey	513,720
116	Clint Capela	506,294
117	Deandre Ayton	500,909
118	Tim Hardaway Jr.	494,714
119	Darius Garland	492,594
120	Jonathan Kuminga	485,023
121	Scotty Pippen Jr.	480,432
122	Goran Dragic	479,823
123	Marc Gasol	473,283
124	Larry Nance Jr.	449,502
125	Furkan Korkmaz	444,248
126	Danilo Gallinari	440,565
127	B.J. Boston Jr.	430,870
128	Josh Giddey	428,883
129	Derrick Jones	420,400
130	Coby White	412,892
131	Tyus Jones	405,369
132	Khris Middleton	403,988
133	Willy Hernangomez	399,619
134	Jaren Jackson Jr.	395,626
135	Matisse Thybulle	395,600
136	Terrence Ross	391,815
137	Kevon Looney	386,135
138	Jaden Hardy	382,949
139	Grayson Allen	379,642
