,playerName,igFollowers
1,LeBron James,146120866
2,Stephen Curry,49330555
3,Russell Westbrook,21669462
4,Kyrie Irving,18539449
5,Lonzo Ball,16169099
6,Klay Thompson,14623214
7,Giannis Antetokounmpo,14334269
8,Chris Paul,11594885
9,Paul George,9891172
10,Damian Lillard,9660257
11,LaMelo Ball,9653626
12,Ja Morant,8903694
13,Luka Doncic,8070527
14,Carmelo Anthony,7927288
15,Jimmy Butler,7896756
16,Markelle Fultz,7576228
17,Ben Simmons,6951306
18,Joel Embiid,6549269
19,Jayson Tatum,5709773
20,Devin Booker,5477359
21,Zion Williamson,5397260
22,Kyle Kuzma,4938120
23,Trae Young,4921569
24,John Wall,4578272
25,Draymond Green,4060020
26,Karl-Anthony Towns,4029739
27,Tristan Thompson,3822337
28,Donovan Mitchell,3715793
29,D'Angelo Russell,3678794
30,Kevin Love,3356121
31,DeMar DeRozan,3320039
32,Dwight Howard,3282112
33,Zach LaVine,2551261
34,Jalen Green,2420667
35,Tyler Herro,2282403
36,Dennis Schroder,2236040
37,Brandon Ingram,2211777
38,Andrew Wiggins,2193323
39,Seth Curry,2129121
40,Jordan Poole,1952396
41,Jordan Clarkson,1881369
42,DeAndre Jordan,1879629
43,Andre Iguodala,1791240
44,Kelly Oubre Jr.,1695550
45,JaVale McGee,1669253
46,Alex Caruso,1590357
47,Shai Gilgeous-Alexander,1543792
48,Kristaps Porzingis,1514760
49,Kyle Lowry,1495356
50,Victor Oladipo,1467915
51,Cedi Osman,1457436
52,Bradley Beal,1374726
53,C.J. McCollum,1354241
54,Andre Drummond,1348260
55,Anthony Edwards,1315552
56,Kemba Walker,1307794
57,De'Aaron Fox,1294666
58,Thanasis Antetokounmpo,1291365
59,Rajon Rondo,1277044
60,Danny Green,1222432
61,Dejounte Murray,1208919
62,Serge Ibaka,1204831
63,Gordon Hayward,1178992
64,Lou Williams,1175563
65,R.J. Barrett,1165390
66,Jamal Murray,1016319
67,Bol Bol,1015097
68,Alize Johnson,1011215
69,Marvin Bagley III,999716
70,Harrison Barnes,985889
71,Boban Marjanovic,980625
72,Kentavious Caldwell-Pope,935997
73,Julius Randle,911333
74,Paolo Banchero,860620
75,Sharife Cooper,857341
76,Bam Adebayo,843995
77,Rudy Gobert,835986
78,Mac McClung,823312
79,Josh Christopher,818849
80,Marcus Smart,795812
81,P.J. Washington,793108
82,Hassan Whiteside,740193
83,Mohamed Bamba,734434
84,Juancho Hernangomez,732687
85,Rudy Gay,716638
86,Cole Anthony,714530
87,Fred VanVleet,706165
88,Pascal Siakam,685707
89,Josh Hart,668643
90,Al Horford,667828
91,Miles Bridges,665525
92,Chet Holmgren,655718
93,Ricky Rubio,631447
94,Patrick Beverley,623627
95,James Wiseman,621520
96,Bogdan Bogdanovic,614432
97,Udonis Haslem,601763
98,Cade Cunningham,593400
99,Scottie Barnes,592800
100,Rui Hachimura,590128
101,Patty Mills,579759
102,Mike Conley,568736
103,Jrue Holiday,558334
104,Steven Adams,549614
105,Kevin Porter Jr.,547584
106,Montrezl Harrell,545442
107,Cam Reddish,542358
108,Justise Winslow,537979
109,Buddy Hield,532062
110,Edmond Sumner,530363
111,Jalen Suggs,529207
112,Tobias Harris,521685
113,R.J. Hampton,514850
114,Willie Cauley-Stein,514451
115,Tyrese Maxey,513720
116,Clint Capela,506294
117,Deandre Ayton,500909
118,Tim Hardaway Jr.,494714
119,Darius Garland,492594
120,Jonathan Kuminga,485023
121,Scotty Pippen Jr.,480432
122,Goran Dragic,479823
123,Marc Gasol,473283
124,Larry Nance Jr.,449502
125,Furkan Korkmaz,444248
126,Danilo Gallinari,440565
127,B.J. Boston Jr.,430870
128,Josh Giddey,428883
129,Derrick Jones,420400
130,Coby White,412892
131,Tyus Jones,405369
132,Khris Middleton,403988
133,Willy Hernangomez,399619
134,Jaren Jackson Jr.,395626
135,Matisse Thybulle,395600
136,Terrence Ross,391815
137,Kevon Looney,386135
138,Jaden Hardy,382949
139,Grayson Allen,379642
140,Talen Horton-Tucker,364278
141,Ben McLemore,361269
142,Lauri Markkanen,358364
143,Chris Duarte,356539
144,Hamidou Diallo,355296
145,Trey Burke,340343
146,Austin Reaves,338680
147,Michael Carter-Williams,336831
148,Al-Farouq Aminu,334412
149,Marcus Morris,329875
150,Alperen Sengun,328500
151,Norman Powell,315988
152,Jonathan Isaac,315629
153,Spencer Dinwiddie,314845
